Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Palm_Base,-0.00103400900285897,-0.000180539094809852,0.0474435139934218,0,0,0,0.0923260250366322,0.00015783467129876,1.67552395000014E-06,2.03624787383231E-06,0.000112349532484309,-3.30084225768315E-06,7.70769956188042E-05,0,0,0,0,0,0,package://HAND_ASSEMBLY_w_tip/meshes/Palm_Base.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://HAND_ASSEMBLY_w_tip/meshes/Palm_Base.STL,,New Palm_without gear-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
T_CMC,-0.0177528743407777,0.00210709032429534,0.00172578328714319,0,0,0,0.00466274355739475,5.91068337186523E-07,1.22100042338684E-07,7.66648747890101E-08,1.15532024570322E-06,8.72417776166709E-09,1.05459263052673E-06,0,0,0,0,0,0,package://HAND_ASSEMBLY_w_tip/meshes/T_CMC.STL,1,1,1,1,0,0,0,0,0,0,package://HAND_ASSEMBLY_w_tip/meshes/T_CMC.STL,,thumb CMC-1,Origin_T_CMC,Axis_T_CMC,T_CMC,revolute,0.0115599999999981,0.0263657188690824,0.0345742378610531,-3.08545108813298,-0.146781499054298,-1.9376645639798,Palm_Base,0,0,1,0,0,0,1.8545,,,,,,,,
T_MCP,-0.0117195543506135,0.0142292379065931,7.95619311620005E-06,0,0,0,0.0033547197974598,5.26043145167794E-07,9.04812058339906E-08,-8.47222922629862E-10,4.82729259847219E-07,8.57465672525974E-10,6.36180921499929E-07,0,0,0,0,0,0,package://HAND_ASSEMBLY_w_tip/meshes/T_MCP.STL,1,1,1,1,0,0,0,0,0,0,package://HAND_ASSEMBLY_w_tip/meshes/T_MCP.STL,,thumb MCP-1,Origin_T_MCP,Axis_T_MCP,T_MCP,revolute,-0.0469999941010945,0.00706933481126965,0.00842490515858201,0.134387415062573,-0.865005439816257,1.39498933884904,T_CMC,0,0,-1,0,0,-0.9203,0,,,,,,,,
T_IP,-0.0154710251108717,0.0116628328499748,-1.39141450905822E-05,0,0,0,0.00427950857548729,4.55363913450062E-07,1.71115890432477E-07,7.03068336447427E-11,4.33364739226157E-07,2.79946493298776E-10,5.83632941087751E-07,0,0,0,0,0,0,package://HAND_ASSEMBLY_w_tip/meshes/T_IP.STL,1,1,1,1,0,0,0,0,0,0,package://HAND_ASSEMBLY_w_tip/meshes/T_IP.STL,,thumb IP-1,Origin_T_IP,Axis_I_MCP,T_IP,revolute,-0.011834,0.038209,0,0,0,0,T_MCP,0,-0.92942,0.36903,0,0,-0.7858,0,,,,,,,,
T_IP_TIP,0.0103691008973476,-0.015362481770586,-1.39141450904955E-05,0,0,0,0.0042795085754873,4.55363913450062E-07,1.71115890432475E-07,7.03068336449413E-11,4.33364739226156E-07,2.79946493298683E-10,5.83632941087752E-07,0,0,0,0,0,0,package://HAND_ASSEMBLY_w_tip/meshes/T_IP_TIP.STL,1,1,1,1,0,0,0,0,0,0,package://HAND_ASSEMBLY_w_tip/meshes/T_IP_TIP.STL,,thumb IP-1,Origin_T_IP_tip,,T_IP_tip,fixed,-0.02584,0.027025,0,0,0,0,T_IP,0,0,0,,,,,,,,,,,,
I_B_MCP,-0.000141740995557887,0.00741427693562444,0.00589412532435988,0,0,0,0.00533430750029796,1.03059700939786E-06,2.85492272449384E-09,5.92070466417556E-09,6.30910124394686E-07,-3.26746600649069E-07,8.35250160642294E-07,0,0,0,0,0,0,package://HAND_ASSEMBLY_w_tip/meshes/I_B_MCP.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://HAND_ASSEMBLY_w_tip/meshes/I_B_MCP.STL,,New Index below MCP-1,Origin_I_B_MCP,Axis_I_B_MCP,I_B_MCP,revolute,0,0.0315,0.101,1.5708,0,-1.5708,Palm_Base,0,0,1,0,0,0,0.4666,,,,,,,,
I_MCP,1.74845297286758E-05,0.0124250824596619,-0.00584261155744063,0,0,0,0.002755942184203,3.71398920418385E-07,4.40724760944911E-11,5.10520634416052E-11,2.52622034069185E-07,-4.7152595339951E-08,3.66973305602765E-07,0,0,0,0,0,0,package://HAND_ASSEMBLY_w_tip/meshes/I_MCP.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://HAND_ASSEMBLY_w_tip/meshes/I_MCP.STL,,I_MCP-1,Origin_I_MCP,Axis_I_MCP,I_MCP,revolute,0,0.0279999999999992,0.0105000000000001,0,0,0,I_B_MCP,1,0,0,0,0,-1.8002,0,,,,,,,,
I_PIP,1.91322862936327E-05,0.0102728432221988,-0.00621243408785706,0,0,0,0.00237210892394421,2.39005004655723E-07,3.37006733460047E-11,3.67682453100147E-11,2.02579627119824E-07,-3.33240723310074E-09,2.33279497210016E-07,0,0,0,0,0,0,package://HAND_ASSEMBLY_w_tip/meshes/I_PIP.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://HAND_ASSEMBLY_w_tip/meshes/I_PIP.STL,,I_PIP-1,Origin_I_PIP,Axis_I_PIP,I_PIP,revolute,0,0.0349845407392164,-4.41133227821362E-05,0,0,0,I_MCP,1,0,0,0,0,-1.3104,0,,,,,,,,
I_DIP,0.00887453911689197,0.0186542942734911,1.79511034709562E-05,0,0,0,0.00401062179385268,5.63158594739122E-07,-6.20177624878477E-08,2.95049292892786E-11,2.03576120686417E-07,2.56006508686644E-10,5.37383345412659E-07,0,0,0,0,0,0,package://HAND_ASSEMBLY_w_tip/meshes/I_DIP.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://HAND_ASSEMBLY_w_tip/meshes/I_DIP.STL,,I_DIP-1,Origin_I_DIP,Axis_I_DIP,I_DIP,revolute,0,0.028,0,0,1.5707963267949,0,I_PIP,0,0,1,0,0,-1.1885,0,,,,,,,,
I_DIP_TIP,-0.00112546088310851,-0.0208457057265095,1.79511034683888E-05,0,0,0,0.00401062179385268,5.63158594739121E-07,-6.20177624878477E-08,2.95049292892854E-11,2.03576120686417E-07,2.5600650868666E-10,5.37383345412658E-07,0,0,0,0,0,0,package://HAND_ASSEMBLY_w_tip/meshes/I_DIP_TIP.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://HAND_ASSEMBLY_w_tip/meshes/I_DIP_TIP.STL,,I_DIP-1,Origin_I_DIP_tip,Axis_I_DIP_tip,I_DIP_tip,fixed,0.0100000000000005,0.0395000000000005,0,0,0,0,I_DIP,0,0,0,,,,,,,,,,,,
